Case ID,Date,Country Code,New Cases,Cumulative Cases,New Deaths,Cumulative Deaths
AF13,2020-03-29,AF,67.0,91.0,2.0,2.0
AF14,2020-04-05,AF,183.0,274.0,3.0,5.0
AF15,2020-04-12,AF,247.0,521.0,10.0,15.0
AF16,2020-04-19,AF,387.0,908.0,15.0,30.0
AF17,2020-04-26,AF,422.0,1330.0,13.0,43.0
AF18,2020-05-03,AF,841.0,2171.0,21.0,64.0
AF19,2020-05-10,AF,1392.0,3563.0,41.0,105.0
AF20,2020-05-17,AF,2490.0,6053.0,48.0,153.0
AF21,2020-05-24,AF,3813.0,9866.0,58.0,211.0
AF22,2020-05-31,AF,4577.0,14443.0,37.0,248.0
AF23,2020-06-07,AF,5108.0,19551.0,79.0,327.0
AF24,2020-06-14,AF,4551.0,24102.0,124.0,451.0
AF25,2020-06-21,AF,4195.0,28297.0,97.0,548.0
AF26,2020-06-28,AF,2319.0,30616.0,155.0,703.0
AF27,2020-07-05,AF,2056.0,32672.0,123.0,826.0
AF28,2020-07-12,AF,1679.0,34351.0,149.0,975.0
AF29,2020-07-19,AF,938.0,35289.0,172.0,1147.0
AF30,2020-07-26,AF,747.0,36036.0,99.0,1246.0
AF31,2020-08-02,AF,674.0,36710.0,37.0,1283.0
AF32,2020-08-09,AF,305.0,37015.0,24.0,1307.0
AF33,2020-08-16,AF,536.0,37551.0,63.0,1370.0
AF34,2020-08-23,AF,343.0,37894.0,15.0,1385.0
AF35,2020-08-30,AF,249.0,38143.0,17.0,1402.0
AF36,2020-09-06,AF,161.0,38304.0,7.0,1409.0
AF37,2020-09-13,AF,337.0,38641.0,11.0,1420.0
AF38,2020-09-20,AF,278.0,38919.0,17.0,1437.0
AF39,2020-09-27,AF,273.0,39192.0,16.0,1453.0
AF40,2020-10-04,AF,105.0,39297.0,9.0,1462.0
AF41,2020-10-11,AF,406.0,39703.0,11.0,1473.0
AF42,2020-10-18,AF,438.0,40141.0,15.0,1488.0
AF43,2020-10-25,AF,627.0,40768.0,23.0,1511.0
AF44,2020-11-01,AF,657.0,41425.0,25.0,1536.0
AF45,2020-11-08,AF,608.0,42033.0,20.0,1556.0
AF46,2020-11-15,AF,1002.0,43035.0,49.0,1605.0
AF47,2020-11-22,AF,1468.0,44503.0,70.0,1675.0
AF48,2020-11-29,AF,1463.0,45966.0,77.0,1752.0
AF49,2020-12-06,AF,1675.0,47641.0,113.0,1865.0
AF50,2020-12-13,AF,1311.0,48952.0,95.0,1960.0
AF51,2020-12-20,AF,1584.0,50536.0,94.0,2054.0
